"id","name","created_at","updated_at"
1,"CVS","2017-04-09 04:02:39.541551","2017-04-09 04:02:39.541551"
2,"Walgreens","2017-04-09 04:02:44.380835","2017-04-09 04:02:44.380835"
3,"Sears/Kmart","2017-04-09 04:02:52.624698","2017-04-09 04:02:52.624698"
4,"BestBuy","2018-09-12 11:52:54.958643","2018-09-17 14:21:20.853548"
5,"Walmart","2019-06-04 00:32:24.106083","2019-06-04 00:32:24.106083"
